cntr_01,dist_x,pang_x,ra_01,dec_01,vfid_01,name,nameH,band,ra,dec,raerr,decerr,flux,snr,stn,strn,fwhmxfit,fwhmyfit,flag_elong,edgeflag,obsid
3994,17.82035,23.044671,171.62,16.86,VFID3993,NGC3681,HPESL100A_J112630.2+165204,green,171.626221,16.867847,0.000165,0.000158,469.842,6.738,null,152.092,16.635,9.217,0.554056,f,1342255531
3995,6.685594,-54.479959,187.91,16.85,VFID3994,NGC4498,HPESL160A_J123139.1+165114,red,187.913181,16.853872,0.000118,0.000113,1290.785,13.175,5.599,169.872,49.598,14.412,0.290571,f,1342258042
4017,5.260352,-111.889623,188.01,16.69,VFID4016,NGC4502,HPESL160A_J123202.9+164114,red,188.012212,16.687153,0.000263,0.000252,401.768,9.09,3.134,72.486,27.46,null,0,f,1342258044
4030,1.203167,-154.394307,170.73,16.59,VFID4029,NGC3655,HPESL160A_J112254.5+163524,red,170.727407,16.589896,0.000027,0.000026,12703.01,45.302,21.54,727.492,25.904,18.463,0.712769,f,1342255533
4047,1.4219,117.858303,186.36,16.47,VFID4046,NGC4383,HPESL100A_J122525.5+162811,green,186.356553,16.46979,0.000007,0.000007,9229.351,217.413,20.845,142.886,16.013,7.834,0.489236,f,1342257723
4058,15.765414,61.996185,190.93,16.39,VFID4057,NGC4651,HPESL160A_J124343.6+162344,red,190.931781,16.395563,0.000072,0.000069,4944.25,17.527,6.837,585.707,42.732,null,0,f,1342258508
4093,2.464731,-118.774071,180.90,16.06,VFID4092,PGC038113,HPESL100A_J120335.8+160319,green,180.899283,16.055171,0.000033,0.000032,1493.708,68.523,null,70.387,16.439,12.49,0.759759,f,1342257469
4105,21.405541,84.423403,182.73,15.95,VFID4104,PGC038779,HPESL100A_J121056.0+155649,green,182.73347,15.946851,0.000369,0.000354,65.354,6.66,3.093,41.72,47.363,null,0,f,1342198147
4116,4.285953,-34.439793,193.18,15.85,VFID4115,NGC4758,HPESL160A_J125244.0+155055,red,193.183633,15.848747,0.000062,0.000059,1621.88,17.081,11.457,177.845,36.208,12.806,0.353688,f,1342258442
4120,1.95735,78.964302,185.73,15.82,VFID4119,NGC4321,HPESL100A_J122255.0+154920,green,185.729221,15.822353,0.000012,0.000012,18311.668,202.619,null,282.187,27.418,null,0,f,1342212439
4136,4.462978,-48.176972,186.50,15.67,VFID4135,NGC4396,HPESL100A_J122558.8+154018,green,186.495278,15.671649,0.000048,0.000046,1639.365,26.025,null,146.083,14.333,9.183,0.64066,f,1342258064
4144,10.917679,51.264979,188.71,15.55,VFID4143,NGC4540,HPESL100A_J123451.4+153312,green,188.714231,15.553225,0.000049,0.000048,2061.469,13.433,null,331.498,19.669,8.182,0.415997,f,1342258046
4145,2.454588,-22.525622,185.63,15.54,VFID4144,NGC4312,HPESL100A_J122231.2+153218,green,185.630337,15.538443,0.000031,0.00003,4796.254,131.353,46.017,143.909,24.046,12.872,0.535331,f,1342198147
4165,6.034971,150.121417,188.49,15.35,VFID4164,IC0800,HPESL160A_J123356.8+152112,red,188.487029,15.353271,0.000185,0.000179,1134.272,20.449,8.181,92.921,31.731,18.711,0.589661,f,1342258048
4166,2.09065,-126.289294,175.06,15.34,VFID4165,NGC3800,HPESL070A_J114013.3+152031,blue,175.05578,15.341987,0.000007,0.000007,5237.513,97.826,19.178,183.462,16.993,7.861,0.462614,f,1342221865
4169,0.385158,62.417403,184.30,15.32,VFID4168,NGC4237,HPESL100A_J121711.4+151926,green,184.297696,15.323953,0.00004,0.000038,3832.535,35.941,15.462,345.385,30.009,20.122,0.670528,f,1342198147
4171,2.269693,14.157586,189.97,15.30,VFID4170,NGC4595,HPESL160A_J123951.9+151754,red,189.966322,15.298342,0.000266,0.000257,1682.077,19.028,8.401,153.297,33.675,null,0,f,1342258506
4180,1.40561,-118.279337,233.63,15.19,VFID4179,NGC5953,HPESL100A_J153432.3+151137,green,233.634619,15.193608,0.000004,0.000004,12540.216,200.392,26.624,258.618,13.875,11.963,0.862185,f,1342202566
