VFID,RA,DEC,vr,radius,radius_flag,objname,PGC,NSAIDV1,NSAIDV0,AGC,NEDname,HLflag,NSAV1flag,NSAV0flag,A100flag,VFID_V1,COflag,HAflag,HAobsflag,Z0MGSflag,Steerflag,unwiseflag,prefix
VFID3558,192.94149299999998,21.7339085,581.8,24.952913284301758,True,PGC086644,86644,547921,119214,229386,IC 3840,True,True,True,True,VFID3561,False,False,False,False,True,True,VFID3558-IC3840
VFID3559,142.6665,21.723528,582.0,30.0,False,NGC2903:[IHS2009]HI1,5057223,0,0,0,NGC 2903-HI-1,True,False,False,False,VFID3562,False,False,False,False,True,True,VFID3559-NGC2903-HI-1
VFID3560,197.33681099999998,21.7157195,2704.5,18.685192108154297,True,SDSSJ130920.83+214256.0,5064943,548514,119286,742781,WISEA J130920.83+214256.0,True,True,True,True,VFID3563,False,False,False,False,True,True,VFID3560-WISEAJ130920.83+214256.0
VFID3561,154.41070050000002,21.6883195,1235.5,64.58345031738281,True,NGC3185,30059,500607,108448,5554,NGC 3185,True,True,True,True,VFID3564,False,True,True,True,True,True,VFID3561-NGC3185
VFID3562,161.1517875,21.6662474,1162.2,26.984928131103516,True,PGC032049,32049,511065,110553,739837,MCG +04-25-050,True,True,True,True,VFID3565,False,False,False,True,True,True,VFID3562-MCG+04-25-050
VFID3563,166.8528285,21.6571108,2692.1,34.92378234863281,True,UGC06176,33682,515420,111653,6176,UGC 06176,True,True,True,True,VFID3566,False,False,False,True,True,True,VFID3563-UGC06176
VFID3564,158.697075,21.6482708,1286.0,53.47136306762695,True,NGC3287,31311,503972,109303,5742,NGC 3287,True,True,True,True,VFID3567,False,False,False,True,True,True,VFID3564-NGC3287
VFID3565,271.15005,21.637501,2222.8,24.952913284301758,True,UGC11105,61361,0,0,0,UGC 11105,True,False,False,False,VFID3568,False,False,False,True,True,False,VFID3565-UGC11105
VFID3566,193.0881,21.6298008,765.4,38.73657989501953,True,UGC08011,43654,629338,142456,8011,UGC 08011,True,True,True,True,VFID3569,False,False,False,False,True,True,VFID3566-UGC08011
VFID3567,136.34144400000002,21.6227561,3069.7,21.28733253479004,True,PGC086667,86667,490274,105675,0,LSBC F564-V02,True,True,True,False,VFID3570,False,False,False,False,True,True,VFID3567-LSBCF564-V02
VFID3568,160.1027985,21.6186555,1230.0,29.793481826782227,True,UGC05805,31762,511154,110583,5805,UGC 05805,True,True,True,True,VFID3571,False,False,False,True,True,True,VFID3568-UGC05805
VFID3569,139.87647299999998,21.6035357,721.1,17.91105842590332,True,PGC086669,86669,0,0,0,LSBC D565-06,True,False,False,False,VFID3572,False,False,False,False,True,True,VFID3569-LSBCD565-06
